,0,1,2
238,"[18.989886337777776, 72.8342584911111]",[0.92800485],"[[11, 5.5799289636364655, 386933.4545454546]]"
239,"[18.991611372222224, 72.83753397]",[0.92549172],"[[11, 5.59557435757589, 386933.4545454546]]"
240,"[18.99467245, 72.83741495888889]",[0.95785709],"[[12, 6.12529773750023, 389192.4166666667]]"
241,"[18.985619144444446, 72.83358548444444]",[0.92222833],"[[11, 5.616197574545601, 386933.4545454546]]"
242,"[18.988563144444445, 72.83210444000001]",[0.92936444],"[[11, 5.57154485333361, 386933.4545454546]]"
243,"[18.988180715555554, 72.83364714666668]",[0.92622783],"[[11, 5.590971221212439, 386933.4545454546]]"
244,"[18.99519787222222, 72.83793059222222]",[0.95952102],"[[12, 6.1155774263891365, 389192.4166666667]]"
245,"[18.986144566666667, 72.83410111777778]",[0.92224383],"[[11, 5.616098795757759, 386933.4545454546]]"
246,"[18.989205644444443, 72.83398210666667]",[0.92734646],"[[11, 5.584008807879, 386933.4545454546]]"
247,"[18.989088566666666, 72.83262007333333]",[0.92938051],"[[11, 5.571446074545625, 386933.4545454546]]"
248,"[18.98870613777778, 72.83416278]",[0.92624366],"[[11, 5.590872442424417, 386933.4545454546]]"
249,"[18.994555372222223, 72.83605292555556]",[0.95749052],"[[12, 6.127463676389097, 389192.4166666667]]"
250,"[18.98844606666667, 72.83074240666667]",[0.93081165],"[[11, 5.562679159999825, 386933.4545454546]]"
251,"[18.992348726666666, 72.83385831333334]",[0.93272558],"[[11, 5.551043063636598, 386933.4545454546]]"
252,"[18.990429655555555, 72.83567431777779]",[0.9265867],"[[11, 5.588733371515438, 386933.4545454546]]"
253,"[18.99471474444444, 72.83724751777778]",[0.9579899],"[[12, 6.124515290278073, 389192.4166666667]]"
254,"[18.99349073333333, 72.83555530666668]",[0.93180239],"[[11, 5.55664338363668, 386933.4545454546]]"
255,"[18.993373655555555, 72.83419327333334]",[0.93387847],"[[11, 5.544080650303305, 386933.4545454546]]"
256,"[18.99605624222222, 72.83610261111112]",[0.96230505],"[[12, 6.099697581389145, 389192.4166666667]]"
257,"[18.992991226666664, 72.83573598]",[0.9306761],"[[11, 5.563507018181989, 386933.4545454546]]"
258,"[18.997276315555553, 72.83730918]",[0.96640058],"[[12, 6.077126224722497, 389192.4166666667]]"
259,"[18.996052304444444, 72.83561696888889]",[0.96229209],"[[12, 6.0997704302780145, 389192.4166666667]]"
