,Venue,Venue Latitude,Venue Longitude,Venue Category
8309,The Peking Tom,19.230268630386483,72.97711968088296,Thai Restaurant
8314,Magic Dust Cafe,19.227529662454565,72.97338740006796,Café
8321,West Coast Grill,19.16040138322943,72.99203916554967,Burger Joint
8323,Domino's Pizza,19.204,73.006,Pizza Place
8324,Malvan Express,19.23636004106238,72.97018252998994,Indian Restaurant
8332,Rangla Punjab,19.235374487076857,72.96976156581489,Indian Restaurant
8339,Ramji restaurant,19.232544405844312,72.96965007745105,Indian Restaurant
8343,iGate Knowledge Park - Canteen 1,19.177949891945243,72.9904686531788,Food Court
8346,The Hub,19.23329043721322,72.96804886822223,Indian Restaurant
8347,Brindavan Cafe,19.23332299140107,72.96795295920616,Indian Restaurant
8348,Chulha Restrobar,19.234006,72.969544,Indian Restaurant
8349,Zayna uber dining,19.168998923548813,73.00046394601863,Restaurant
